

[2018-06-06 15:04:54.031] 167|-1.005;-0.036;0.130|0.8;-0.7;3.2|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.047] 168|-1.007;-0.034;0.131|0.5;-0.7;3.1|-158.9;82.3;15.4|0
[2018-06-06 15:04:54.062] 169|-1.008;-0.034;0.132|0.5;-0.7;3.2|-158.9;82.3;15.4|0
[2018-06-06 15:04:54.062] 170|-1.006;-0.033;0.133|0.6;-0.7;3.3|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.078] 171|-1.006;-0.034;0.134|0.6;-0.7;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.094] 172|-1.006;-0.035;0.135|0.5;-0.8;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.094] 173|-1.005;-0.036;0.134|0.7;-0.8;3.3|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.109] 174|-1.005;-0.036;0.134|0.7;-0.9;3.3|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.125] 175|-1.004;-0.037;0.134|0.6;-0.9;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.140] 176|-1.003;-0.038;0.133|0.6;-0.9;3.2|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.149] 177|-1.003;-0.038;0.133|0.6;-0.8;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.157] 178|-1.004;-0.038;0.133|0.6;-0.8;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.157] 179|-1.002;-0.038;0.132|0.5;-0.8;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.173] 180|-1.003;-0.038;0.131|0.6;-0.8;3.1|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.188] 181|-1.005;-0.036;0.130|0.8;-0.8;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.188] 182|-1.006;-0.035;0.129|0.5;-0.9;2.9|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.204] 183|-1.006;-0.035;0.129|0.5;-0.9;3.0|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.220] 184|-1.007;-0.035;0.128|0.5;-0.8;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.220] 185|-1.008;-0.034;0.128|0.5;-0.9;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.235] 186|-1.006;-0.034;0.130|0.7;-0.7;3.2|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.251] 187|-1.005;-0.036;0.132|0.7;-0.8;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.267] 188|-1.005;-0.036;0.133|0.7;-0.9;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.267] 189|-1.005;-0.036;0.133|0.6;-0.8;3.3|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.282] 190|-1.003;-0.037;0.134|0.7;-0.7;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.298] 191|-1.004;-0.037;0.134|0.6;-0.8;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.298] 192|-1.004;-0.038;0.134|0.6;-0.8;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.313] 193|-1.004;-0.038;0.134|0.7;-0.8;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.329] 194|-1.003;-0.036;0.135|0.6;-0.7;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.329] 195|-1.004;-0.036;0.134|0.7;-0.8;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.345] 196|-1.005;-0.035;0.132|0.6;-0.8;3.3|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.360] 197|-1.006;-0.035;0.132|0.7;-1.0;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.360] 198|-1.007;-0.034;0.132|0.6;-0.8;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.376] 199|-1.006;-0.035;0.131|0.6;-0.8;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.391] 200|-1.006;-0.034;0.130|0.6;-1.0;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.391] 201|-1.006;-0.036;0.129|0.8;-0.8;3.1|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.407] 202|-1.006;-0.036;0.129|0.7;-0.8;3.3|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.423] 203|-1.004;-0.036;0.129|0.6;-0.8;3.4|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.423] 204|-1.004;-0.038;0.130|0.7;-0.7;3.4|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.443] 205|-1.004;-0.038;0.130|0.8;-0.7;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.455] 206|-1.002;-0.038;0.131|0.6;-0.7;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.463] 207|-1.004;-0.038;0.131|0.7;-0.6;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.467] 208|-1.004;-0.037;0.132|0.8;-0.6;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.483] 209|-1.004;-0.037;0.132|0.9;-0.7;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.483] 210|-1.005;-0.036;0.132|0.7;-0.7;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.498] 211|-1.005;-0.035;0.133|0.7;-0.8;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.514] 212|-1.007;-0.034;0.132|0.6;-0.8;3.2|-159.0;82.3;15.4|0
[2018-06-06 15:04:54.514] 213|-1.007;-0.034;0.132|0.7;-0.9;3.3|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.530] 214|-1.007;-0.034;0.133|0.6;-0.8;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.545] 215|-1.007;-0.035;0.133|0.5;-0.9;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:54.545] 216|-1.007;-0.035;0.132|0.8;-0.8;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.561] 217|-1.007;-0.035;0.131|0.7;-0.8;3.3|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.577] 218|-1.006;-0.035;0.130|0.6;-0.9;3.3|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.577] 219|-1.005;-0.037;0.129|0.5;-0.9;3.3|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.592] 220|-1.006;-0.037;0.128|0.6;-0.9;3.3|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.608] 221|-1.004;-0.037;0.126|0.6;-0.8;3.4|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.623] 222|-1.005;-0.038;0.126|0.5;-0.8;3.2|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.623] 223|-1.009;-0.038;0.126|0.6;-0.7;3.4|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.639] 224|-1.008;-0.038;0.126|0.5;-0.7;3.5|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.655] 225|-1.007;-0.039;0.127|0.6;-0.9;3.4|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.655] 226|-1.003;-0.038;0.127|0.4;-0.8;3.4|-158.9;82.3;15.4|0
[2018-06-06 15:04:54.670] 227|-1.005;-0.037;0.129|0.8;-0.7;3.1|-158.9;82.4;15.4|0
[2018-06-06 15:04:54.686] 228|-1.005;-0.036;0.130|0.7;-0.8;3.2|-158.8;82.4;15.5|0
[2018-06-06 15:04:54.692] 229|-1.003;-0.036;0.131|0.7;-0.6;3.2|-158.8;82.4;15.5|0
